epoch,train_loss,val_loss,val_acc
1,4.115069564974944,4.075272514910945,0.08010801080108011
2,4.070722671204437,4.065042757108124,0.07980798079807981
3,4.070576179792728,4.056739763493943,0.07980798079807981
4,4.061105357721027,4.055963806658223,0.0777077707770777
5,4.058654743107622,4.051546613268047,0.07890789078907891
6,3.9296023023292985,3.6725472475435867,0.10081008100810081
7,3.495753756953916,3.386420779138079,0.1398139813981398
8,3.0215561421388055,2.881700676695706,0.2079207920792079
9,2.6222280876752353,2.4884755368923734,0.252025202520252
10,2.2805897811965163,2.3396230630248005,0.2907290729072907
11,2.056645587167128,2.2754086380136505,0.3063306330633063
12,1.7918270977228505,2.0182915523608025,0.37413741374137416
13,1.6384968287085229,1.89227005722213,0.39723972397239726
14,1.4434518362135678,1.8087607503759944,0.4365436543654365
15,1.2975959032684583,1.8276370847114314,0.42874287428742874
16,1.1153961401108716,1.6933917598326644,0.48364836483648366
17,1.0004145898859016,1.6092030867563152,0.510951095109511
18,0.8737713632000086,1.5237894480270628,0.5502550255025502
19,0.7453235734631791,1.4979490214188134,0.57005700570057
20,0.6538323126085233,1.3186135251838418,0.6153615361536153
21,0.5653844391720411,1.3915374649651158,0.5967596759675967
22,0.47027285598178215,1.2907523034420452,0.63996399639964
23,0.4060078491761288,1.2759582679537107,0.6510651065106511
24,0.33963346411599754,1.2869005038364134,0.648064806480648
25,0.30060274581674623,1.2683647427525726,0.6618661866186618
26,0.28471225473290085,1.3237513805178776,0.6474647464746475
27,0.25943557745550805,1.2966771397997838,0.6561656165616562
28,0.2521257960445951,1.2876151394274475,0.6594659465946595
29,0.2285574682472563,1.2919272365148562,0.6624662466246625
30,0.23575478305913905,1.2427611109266097,0.6696669666966697
