epoch,train_loss,val_loss,val_acc
1,4.123198550196622,4.079998038961763,0.07980798079807981
2,4.080310395175107,4.068240055120853,0.07980798079807981
3,4.065174406064663,4.060813911534129,0.08010801080108011
4,4.064990329688153,4.053816828683372,0.07950795079507951
5,4.056786643556389,4.051696768330626,0.07980798079807981
6,3.8816329634996998,3.598052645173117,0.1074107410741074
7,3.399383764750047,3.49328375442086,0.13051305130513052
8,2.996806363728349,2.7766916319803903,0.2079207920792079
9,2.5917007343702583,2.6413914070735993,0.2226222622262226
10,2.3120179746255456,2.6148500707175972,0.2229222922292229
11,2.057061417169305,2.3345743883775585,0.3033303330333033
12,1.9029516073269266,2.2524256487347647,0.3195319531953195
13,1.62179347243442,1.885242179961595,0.3996399639963996
14,1.4808299006829564,1.7793436259290603,0.44944494449444944
15,1.318957587501578,1.6152346738637333,0.4965496549654965
16,1.139361118958223,1.4716673258936803,0.5304530453045304
17,1.053790034254505,1.4411305142994082,0.5505550555055505
18,0.8757477912566305,1.429698757749043,0.5637563756375638
19,0.7830320888442212,1.4171435693130814,0.594959495949595
20,0.6345727850784276,1.322231579123765,0.6141614161416141
21,0.5366317746682675,1.2326145400845034,0.6438643864386439
22,0.49930487160120895,1.2637383672449276,0.6294629462946295
23,0.41882799458083064,1.2015057669596525,0.6567656765676567
24,0.36683921856030727,1.151923204037008,0.6732673267326733
25,0.32293621826796076,1.185714040062215,0.6711671167116712
26,0.2934953884163836,1.1826500894069816,0.6741674167416741
27,0.26875320994589363,1.1793876422880434,0.6783678367836784
28,0.2619090081703005,1.1760833556234318,0.6705670567056705
29,0.2541985325706093,1.1672138402832546,0.6843684368436843
30,0.2590466850544827,1.2038939819276386,0.6750675067506751
