epoch,train_loss,val_loss,val_acc
1,4.121309877943692,4.075840135111381,0.07980798079807981
2,4.086819185063591,4.067709685301874,0.07980798079807981
3,4.080226092976442,4.064703148190338,0.07980798079807981
4,4.07711873400619,4.060381307209929,0.07980798079807981
5,4.070664081590649,4.057915443348305,0.08010801080108011
6,4.0570373163297635,4.016360144553655,0.07980798079807981
7,3.907905831334115,3.705935901111931,0.0963096309630963
8,3.593545772533039,3.439284422931963,0.11671167116711671
9,3.278856266024017,3.139990101910696,0.14641464146414643
10,2.9888831483581213,2.7841052734347533,0.20582058205820583
11,2.7232981265914176,2.683962603571034,0.21422142214221424
12,2.472712635779424,2.476906654751054,0.25292529252925294
13,2.2703641835414654,2.2749458704129233,0.28352835283528355
14,2.014848830961652,2.284859189463563,0.30933093309330933
15,1.8145380107385354,2.019078534249604,0.37053705370537054
16,1.6715149769328208,1.9967053005225373,0.3789378937893789
17,1.495907535936279,1.7804432023834116,0.43234323432343236
18,1.3891515637416645,1.7506421929968037,0.45094509450945097
19,1.1906849557079093,1.6746202211747683,0.480948094809481
20,1.0479090890987375,1.5801404318293042,0.5070507050705071
21,0.9531409458693588,1.5205824458935295,0.531953195319532
22,0.8448739365038217,1.388187258621969,0.5760576057605761
23,0.7544955756039268,1.37415650902283,0.5748574857485749
24,0.6728058551411895,1.3834456071512427,0.5907590759075908
25,0.6145490151933374,1.3920206324388198,0.591959195919592
26,0.5879288395508078,1.3179781022075057,0.6087608760876088
27,0.5344293141837025,1.3454162925705335,0.6018601860186018
28,0.5287735325602192,1.324058853391588,0.6150615061506151
29,0.49267030548892055,1.3198665351529504,0.618061806180618
30,0.4868782446208512,1.3204603796154752,0.6132613261326133
