fold,epoch,train_loss,train_acc,val_loss,val_acc
1,1,3.8309735514322916,0.11233333333333333,3.324798095703125,0.2095
1,2,3.189319010416667,0.21583333333333332,2.9664666748046873,0.251
1,3,2.873423594156901,0.27616666666666667,2.815076965332031,0.282
1,4,2.6730763575236,0.3205,2.674426010131836,0.3085
1,5,2.522540990193685,0.3535,2.6159435653686525,0.32
1,6,1.5910461289087932,0.5441666666666667,1.157983536720276,0.628
1,7,0.6759236946105956,0.7948333333333333,0.9206638660430908,0.7165
1,8,0.3995248990058899,0.8816666666666667,0.7952266802787781,0.7645
1,9,0.22292418380578358,0.934,0.6814294636249543,0.798
1,10,0.14730036940177282,0.9601666666666666,0.6835787053108215,0.8155
1,11,0.11118346466620763,0.9703333333333334,0.6581324498653411,0.838
1,12,0.06794726983706156,0.9845,0.659602703332901,0.8315
1,13,0.049839026947816216,0.9895,0.6646643476486206,0.823
1,14,0.04229283207654953,0.991,0.5893899121284485,0.8375
1,15,0.03266837068398794,0.9925,0.5462139053344727,0.857
1,16,0.017034440716107685,0.9976666666666667,0.5388704093694687,0.8675
1,17,0.02366675005356471,0.9948333333333333,0.6170065007209777,0.8455
1,18,0.01823507881164551,0.9955,0.6377364521026612,0.8465
1,19,0.012596398035685222,0.9973333333333333,0.5833148706555367,0.86
1,20,0.011076090852419535,0.9976666666666667,0.5270975357294083,0.873
1,21,0.006681558946768443,0.9993333333333333,0.5471360908150673,0.869
1,22,0.006006411631902059,0.9991666666666666,0.5146448910236359,0.8765
1,23,0.004318075716495514,0.9993333333333333,0.5072573830485344,0.877
1,24,0.003091433544953664,0.9995,0.500025886297226,0.8825
1,25,0.0020831156571706135,1.0,0.4974836288690567,0.878
1,26,0.002715075850486755,0.9995,0.49414234578609467,0.8805
1,27,0.001641361673672994,1.0,0.5009241767525673,0.882
1,28,0.0016414663394292196,1.0,0.4888822773098946,0.8815
1,29,0.001900529166062673,0.9998333333333334,0.4883085045814514,0.88
1,30,0.0019527310530344645,0.9998333333333334,0.49216319870948794,0.8775
2,1,3.8476474609375,0.10083333333333333,3.35380029296875,0.1975
2,2,3.19536376953125,0.21083333333333334,3.02570263671875,0.245
2,3,2.8696986999511718,0.27516666666666667,2.82142041015625,0.276
2,4,2.6718321533203127,0.3115,2.703377380371094,0.3035
2,5,2.5321844558715823,0.3455,2.6312979011535647,0.311
2,6,1.5765276838938396,0.5421666666666667,1.0925471544265748,0.672
2,7,0.6813668489456177,0.8001666666666667,0.8534802374839783,0.749
2,8,0.3825639361937841,0.8936666666666667,0.7534776124954223,0.7785
2,9,0.2369735292593638,0.935,0.6839844508171081,0.801
2,10,0.15293139719963073,0.9578333333333333,0.6704482760429382,0.824
2,11,0.12105244320631027,0.9655,0.7117024116516113,0.82
2,12,0.08283744891484579,0.977,0.6409862468242645,0.823
2,13,0.05132842834790548,0.9865,0.6384312441349029,0.8365
2,14,0.045056767304738364,0.9893333333333333,0.6741190640926361,0.8285
2,15,0.05082549941539764,0.9878333333333333,0.6337923378944397,0.8495
2,16,0.02705225992202759,0.9941666666666666,0.6317553825378418,0.8435
2,17,0.01852695953845978,0.9963333333333333,0.6056143555641175,0.861
2,18,0.009075184384981791,0.9991666666666666,0.5871473470926285,0.867
2,19,0.006264251351356507,0.9996666666666667,0.5874377781748772,0.866
2,20,0.006405969679355621,0.9988333333333334,0.5660004906654358,0.8725
2,21,0.0037959604064623513,0.9998333333333334,0.55103402364254,0.877
2,22,0.002481687605381012,0.9998333333333334,0.5463592753410339,0.878
2,23,0.002423184911410014,1.0,0.5382568531036377,0.879
2,24,0.0024070539275805156,0.9998333333333334,0.536424880027771,0.8775
2,25,0.002195053994655609,0.9998333333333334,0.5389280807971955,0.8785
2,26,0.0017045914928118387,1.0,0.5333810757398605,0.8795
2,27,0.0017085174520810446,1.0,0.5328666204810143,0.8785
2,28,0.0014294483264287313,1.0,0.5321862528324127,0.881
2,29,0.0013471554120381673,1.0,0.5293783898353577,0.881
2,30,0.0014295923908551535,1.0,0.532468703687191,0.8795
3,1,3.8434586181640626,0.11216666666666666,3.42635302734375,0.1525
3,2,3.1984427693684894,0.21583333333333332,2.99832666015625,0.252
