model,label,data,batch_size,lr,epochs,optimizer,best_val_acc,test_acc,cn_acc
resnet34,family,custom,32,0.01,20,sgd,0.8184818481848185,0.8247824782478248,0.8089222007057258
resnet34,family,custom,32,0.001,20,adam,0.8598859885988599,0.8616861686168616,0.849282618195854
resnet34,family,custom,32,0.001,20,adam,0.8703870387038704,0.8787878787878788,0.8686249974789457
