model,attn,tuning,use_excluded,use_added,crop_bbox,added_repeat,label,folds,epochs,batch_size,lr,optimizer,weight_decay,label_smoothing,rotation,cutmix,num_params,train_time_sec,fold1_val_acc,fold2_val_acc,fold3_val_acc,fold4_val_acc,mean_val_acc,ensemble_test_acc,ensemble_cn_acc
cnn,none,False,False,False,True,1,family,4,100,32,0.001,adamw,0.005,0.0,15,0.5,2522950,3305,0.2735,0.3055,0.3145,0.362,0.313875,0.3615,0.26511904761904764
resnet34d,none,False,False,False,True,1,family,4,50,32,0.001,adamw,0.005,0.0,15,0.5,21320582,1694,0.9115,0.903,0.905,0.905,0.9061250000000001,0.9175,0.9078571428571429
resnet34d,none,False,True,False,True,1,family,4,50,32,0.001,adamw,0.005,0.0,15,0.5,21320582,1838,0.9115,0.91,0.9025,0.9065,0.9076249999999999,0.919,0.9092261904761906
resnet34d,none,False,False,True,True,1,family,4,50,32,0.001,adamw,0.005,0.0,15,0.5,21320582,1760,0.918,0.909,0.8985,0.902,0.906875,0.922,0.9110416666666667
resnet34d,none,True,True,True,True,1,family,4,50,32,0.001,adamw,0.005,0.0,15,0.5,21320582,2012,0.9075,0.9095,0.9065,0.898,0.905375,0.9225,0.9133630952380952
resnet34d,channel,False,True,True,True,1,family,4,50,32,0.001,adamw,0.0,21468038,2003,0.915,0.9115,0.905,0.9085,0.91,0.93,0.9206845238095239
resnet34d,spatial,False,True,True,True,1,family,4,50,32,0.001,adamw,0.0,21321464,1789,0.912,0.907,0.9015,0.9015,0.9055,0.9245,0.917529761904762
resnet34d,cbam,False,True,True,True,1,family,4,50,32,0.001,adamw,0.0,21468920,2257,0.911,0.908,0.9025,0.904,0.9063749999999999,0.915,0.9036904761904763
