fold,epoch,train_loss,train_acc,val_loss,val_acc
1,1,3.750266737459547,0.11796116504854369,3.292261474609375,0.2045
1,2,3.072756612339452,0.2580906148867314,2.8731407470703125,0.299
1,3,2.6909894134620247,0.34385113268608414,2.5840452880859375,0.349
1,4,2.428159364373167,0.41084142394822004,2.416375289916992,0.399
1,5,2.23800162898684,0.45550161812297735,2.2639430541992187,0.418
1,6,1.192569740999092,0.6564724919093851,0.9238513603210449,0.713
1,7,0.5180673288295956,0.837378640776699,0.8014578242301941,0.7505
1,8,0.29317511651894035,0.9100323624595469,0.7477557318210601,0.7915
1,9,0.22868364167830704,0.9312297734627831,0.648338319659233,0.8235
1,10,0.1672862396463993,0.9491909385113269,0.6647563214302064,0.822
1,11,0.12842351771095423,0.9613268608414239,0.6362333569526673,0.8305
1,12,0.0911514718748605,0.9713592233009709,0.5735143634080887,0.8505
1,13,0.0625174706036219,0.9815533980582525,0.612386305987835,0.8515
1,14,0.051574506921675596,0.986084142394822,0.6212019050121307,0.8445
1,15,0.0713915213604961,0.9784789644012944,0.6341439998149871,0.841
1,16,0.05932688429517653,0.9828478964401295,0.5814831120967865,0.853
1,17,0.03691829576075656,0.9881877022653721,0.575518751502037,0.85
1,18,0.024183952789090597,0.9935275080906149,0.5444790270328522,0.8665
1,19,0.019482027365551796,0.9949838187702266,0.4960560438632965,0.88
1,20,0.014406150540873457,0.9970873786407767,0.4787313217520714,0.883
1,21,0.012195427151559626,0.9967637540453075,0.482865618288517,0.8845
1,22,0.010918856187931543,0.9972491909385113,0.5029989514946938,0.8785
1,23,0.009004678888228333,0.9983818770226537,0.477423033952713,0.8915
1,24,0.006578558741263973,0.9988673139158576,0.4850827630162239,0.893
1,25,0.004935502272979341,0.9990291262135922,0.47934111177921296,0.896
1,26,0.0033319175050482396,1.0,0.46066364949941635,0.8965
1,27,0.004943643611611672,0.9991909385113269,0.48231507968902587,0.89
1,28,0.0032556065463711144,0.9998381877022654,0.4597220778465271,0.8925
1,29,0.003215492408252457,0.9998381877022654,0.46215038204193115,0.8955
1,30,0.0037849172998014775,0.9993527508090615,0.4597277569770813,0.8925
2,1,3.6682715159789643,0.13462783171521037,3.1422030029296875,0.224
2,2,2.8829024478455576,0.308252427184466,2.6383775329589843,0.352
2,3,2.471995427153257,0.3990291262135922,2.3367928161621094,0.4235
2,4,2.237260043196694,0.44854368932038835,2.1959994277954102,0.44
2,5,2.0524788643549945,0.4894822006472492,2.107787118911743,0.4675
2,6,1.1520414133287942,0.670388349514563,0.9151226162910462,0.73
2,7,0.5047121187629823,0.8519417475728155,0.7118343834877014,0.7835
2,8,0.3112555642729824,0.9003236245954692,0.6858542609214783,0.8105
2,9,0.19800351333463848,0.9402912621359223,0.6403755149841308,0.8255
2,10,0.13215405883140935,0.9610032362459547,0.613030421257019,0.84
2,11,0.13080427729581937,0.9653721682847897,0.6652319455146789,0.8355
2,12,0.08262525443891877,0.9771844660194174,0.6202605438232421,0.844
2,13,0.0671112415088419,0.9809061488673139,0.58518563747406,0.853
2,14,0.04578077706318457,0.9885113268608414,0.5919773645401001,0.8495
2,15,0.03808276574202726,0.9904530744336569,0.5671657326221466,0.8645
2,16,0.03707950431552134,0.9906148867313915,0.6182311871051789,0.856
2,17,0.050631468774431344,0.984789644012945,0.6116832258701325,0.852
2,18,0.034277593723007004,0.989967637540453,0.562677074432373,0.861
2,19,0.015257597066052137,0.9972491909385113,0.5312872889637947,0.874
2,20,0.013117326482599993,0.9967637540453075,0.5216534377336502,0.8775
2,21,0.010470435052242094,0.9977346278317152,0.5022610981464386,0.877
2,22,0.009925655234593017,0.9980582524271845,0.4861808648109436,0.8795
2,23,0.009497849783079524,0.998705501618123,0.5092361814975739,0.882
2,24,0.006524779013445462,0.9991909385113269,0.485029940366745,0.8895
2,25,0.004382303964744494,0.9996763754045307,0.4842075083255768,0.8865
2,26,0.00395097250305719,0.9996763754045307,0.4917031407356262,0.883
2,27,0.004131217971203011,0.9993527508090615,0.49157385087013244,0.8855
2,28,0.00402404390106695,0.9998381877022654,0.4872496392726898,0.8885
2,29,0.0036638649729077485,0.9995145631067961,0.48140761971473695,0.8865
2,30,0.0034246944686741505,0.9995145631067961,0.4742256367206574,0.8895
3,1,3.8443487371055824,0.09660194174757282,3.52955908203125,0.16
3,2,3.311185907160194,0.20210355987055018,3.124267822265625,0.255
3,3,2.964934828674909,0.2891585760517799,2.888758728027344,0.283
3,4,2.716134322576924,0.3504854368932039,2.6789481201171874,0.3355
3,5,2.519736302940591,0.4006472491909385,2.551837219238281,0.3785
3,6,1.2743391575550955,0.6385113268608414,0.9389955492019654,0.7245
3,7,0.5377629404314899,0.8286407766990291,0.9134309697151184,0.741
3,8,0.3368561225030029,0.8907766990291263,0.8414986238479615,0.7495
3,9,0.2140966389943095,0.9315533980582524,0.7924918556213378,0.787
3,10,0.17073776639009372,0.944336569579288,0.9025033078193665,0.7695
3,11,0.16619295157660943,0.9524271844660194,0.7472570037841797,0.7995
3,12,0.11661593779005279,0.9644012944983819,0.7209785742759705,0.8065
3,13,0.08772068756683744,0.9739482200647249,0.69530615401268,0.8285
3,14,0.057771937090987914,0.9846278317152104,0.6486608498096466,0.831
3,15,0.05896871070645774,0.9825242718446602,0.6215171093940735,0.8435
3,16,0.06953918135281906,0.9786407766990292,0.6767188637256623,0.84
3,17,0.03496572599056083,0.9889967637540453,0.6545678961277008,0.845
3,18,0.027114921403162687,0.9920711974110032,0.6569825298786164,0.8475
3,19,0.020437206593146216,0.9944983818770227,0.58903575527668,0.868
3,20,0.012517877072578109,0.9970873786407767,0.5824388611316681,0.8645
3,21,0.011902528133207154,0.9970873786407767,0.5754996495246887,0.866
3,22,0.009503320081334284,0.9975728155339806,0.5721859230995178,0.865
3,23,0.009127513876239073,0.9978964401294499,0.5800333616733551,0.865
3,24,0.006516177445939444,0.9990291262135922,0.5674557591676712,0.867
3,25,0.005169195708333482,0.9993527508090615,0.5685155917406082,0.871
3,26,0.004158265247314107,0.9990291262135922,0.5610883224010468,0.8675
3,27,0.0038947451268970773,0.9996763754045307,0.5610678758621216,0.8705
3,28,0.003409009477467213,0.9996763754045307,0.5496622693538665,0.873
3,29,0.003626095939994244,0.9993527508090615,0.5494471349716187,0.8765
3,30,0.003560755071516562,0.9993527508090615,0.5594582512378693,0.877
4,1,3.764409116479571,0.1215210355987055,3.34387890625,0.1725
4,2,3.10826416015625,0.25469255663430423,2.91179931640625,0.279
4,3,2.729008103651522,0.3333333333333333,2.6495052490234374,0.342
4,4,2.474215159987169,0.39805825242718446,2.5354490814208983,0.352
4,5,2.3006324274254464,0.42475728155339804,2.3815094947814943,0.378
4,6,1.2376098990826159,0.6457928802588997,1.0158790302276612,0.6865
4,7,0.5345558353998129,0.8344660194174758,0.7924043157100678,0.768
4,8,0.32156536795174806,0.8991909385113268,0.7142050213813782,0.7835
4,9,0.221002628155125,0.9336569579288025,0.6790423638820648,0.808
4,10,0.154716702012954,0.9529126213592233,0.705446422457695,0.804
4,11,0.1084878290741189,0.9679611650485437,0.6487914726734162,0.8235
4,12,0.12658163239654985,0.9606796116504854,0.6506980378627777,0.8255
4,13,0.08375212314831014,0.9758899676375404,0.6136936657428741,0.829
4,14,0.05737770957854187,0.9851132686084142,0.6397395567893982,0.8375
4,15,0.051905849315587754,0.9870550161812298,0.6047197960615158,0.8475
4,16,0.047207588709673835,0.986084142394822,0.5642297151684761,0.8505
4,17,0.03141515033144781,0.9915857605177993,0.5975146603584289,0.8475
4,18,0.03240481356586839,0.9909385113268608,0.5845356977581978,0.8545
4,19,0.033613071530382226,0.9911003236245954,0.6098112930655479,0.845
4,20,0.02403058913147565,0.9920711974110032,0.5817363920211792,0.8535
4,21,0.02048959876727132,0.9951456310679612,0.589679025053978,0.8565
4,22,0.012034357037744862,0.9978964401294499,0.5220560889840126,0.876
4,23,0.007230504623894553,0.9988673139158576,0.4994840602874756,0.8755
4,24,0.007608110754235277,0.9988673139158576,0.5088763610720635,0.871
4,25,0.005814379993765871,0.9993527508090615,0.4904678899049759,0.883
4,26,0.005299422540325177,0.9993527508090615,0.4836382762789726,0.881
4,27,0.004179531200803985,0.9995145631067961,0.47945222944021226,0.8825
4,28,0.004150363851133674,0.9998381877022654,0.48290631294250486,0.884
4,29,0.005731740005579581,0.9990291262135922,0.4816770195960999,0.881
4,30,0.0032066388037598247,0.9998381877022654,0.4921533586382866,0.882
