model,attn,tuning,use_excluded,use_added,label,folds,epochs,batch_size,lr,optimizer,num_params,train_time_sec,fold1_val_acc,fold2_val_acc,fold3_val_acc,fold4_val_acc,mean_val_acc,ensemble_test_acc,ensemble_cn_acc
cnn,none,False,False,False,family,4,100,32,0.001,adam,2522950,4595,0.542,0.514,0.5225,0.485,0.515875,0.55,0.500625
resnet34,none,False,False,False,family,4,30,32,0.001,adam,21320582,1434,0.8905,0.884,0.8825,0.885,0.8855,0.899,0.8815178571428574
resnet34,none,False,True,False,family,4,30,32,0.001,adam,21320582,1450,0.9,0.8855,0.885,0.889,0.889875,0.8985,0.8801785714285717
resnet34,none,False,False,True,family,4,30,32,0.001,adam,21320582,1473,0.893,0.8955,0.8845,0.8815,0.888625,0.8945,0.8768452380952382
resnet34,none,True,True,True,family,4,30,32,0.001,adam,21320582,1468,0.8945,0.8825,0.882,0.885,0.8859999999999999,0.9005,0.8832738095238096
resnet34,channel,False,True,True,family,4,30,32,0.001,adam,21468038,1469,0.89,0.886,0.8835,0.873,0.8831249999999999,0.901,0.8851190476190478
resnet34,spatial,False,True,True,family,4,30,32,0.001,adam,21321464,1393,0.8965,0.8895,0.877,0.884,0.88675,0.897,0.8786309523809525
resnet34,cbam,False,True,True,family,4,30,32,0.001,adam,21468920,1530,0.897,0.88,0.8695,0.879,0.881375,0.8955,0.8795535714285715
