fold,epoch,train_loss,train_acc,val_loss,val_acc
1,1,3.824343290575686,0.12562651576394504,3.41663916015625,0.193
1,2,3.225609695400648,0.26192400970088925,3.062486011505127,0.3005
1,3,2.9324467626230892,0.3375909458367017,2.8676452770233154,0.3535
1,4,2.739185497620073,0.38868229587712205,2.77816774559021,0.363
1,5,2.6272797461180506,0.4357316087308003,2.692906074523926,0.402
1,6,1.8849096782764505,0.6439773645917543,1.635143611907959,0.738
1,7,1.3186857755085877,0.8447857720291027,1.4898760251998902,0.781
1,8,1.1218860609645118,0.919967663702506,1.45817937374115,0.7965
1,9,1.0176928539669312,0.9547291835084882,1.3525691528320312,0.8395
1,10,0.9465588485414016,0.9783346806790623,1.3343771915435791,0.842
1,11,0.9094859999230338,0.9831851253031528,1.2585751342773437,0.856
1,12,0.8822818340942951,0.9899757477768796,1.2569904861450196,0.8635
1,13,0.8635965162067522,0.9927243330638642,1.2433098201751709,0.8675
1,14,0.8415179858115188,0.9959579628132579,1.2120404806137084,0.875
1,15,0.8268154121929344,0.9975747776879548,1.2105227394104003,0.8795
1,16,0.8186301673046503,0.9977364591754244,1.1802033739089965,0.8855
1,17,0.8079023251826473,0.9993532740501213,1.172913661956787,0.8905
1,18,0.8023960902889409,0.9993532740501213,1.1619914426803588,0.894
1,19,0.7967695241891866,0.9983831851253031,1.1573152475357056,0.8995
1,20,0.7907038959651198,0.999514955537591,1.14378968334198,0.8955
1,21,0.7840755637461078,0.9998383185125304,1.1446128358840943,0.8955
1,22,0.7798267069610744,1.0,1.1317531900405884,0.8995
1,23,0.7788813491549912,1.0,1.1408427143096924,0.899
1,24,0.7746112523873004,0.9996766370250606,1.1288176918029784,0.9035
1,25,0.772853836862908,0.9998383185125304,1.1299047317504882,0.905
1,26,0.7716468929377118,0.9996766370250606,1.1273283138275147,0.9035
1,27,0.7703636594712975,1.0,1.1266329898834229,0.902
1,28,0.7689361333172459,1.0,1.1219638481140137,0.9
1,29,0.7679076662252483,1.0,1.124997926712036,0.901
1,30,0.7680932371676112,1.0,1.122012951850891,0.9035
2,1,3.823477528455668,0.12109943411479386,3.4093649463653564,0.223
2,2,3.2621628742788524,0.2637025060630558,3.058314079284668,0.347
2,3,2.945695517230824,0.3597413096200485,2.851900400161743,0.3795
2,4,2.736703187762101,0.42409054163298304,2.7114676342010497,0.417
2,5,2.6056422066669263,0.45012126111560224,2.605217281341553,0.4455
2,6,1.8548397871979612,0.6609539207760712,1.6068194808959961,0.752
2,7,1.3058671520136014,0.8541632983023444,1.4533594436645507,0.813
2,8,1.1092408901467474,0.9219078415521422,1.3912831392288207,0.8265
2,9,1.0011113324469871,0.9613581244947453,1.3921994037628174,0.8255
2,10,0.9519832753711105,0.9739692805173807,1.3351191806793212,0.843
2,11,0.9045994164968751,0.9849636216653194,1.2882946662902832,0.8555
2,12,0.8680855901085184,0.9932093775262733,1.2499431600570678,0.8735
2,13,0.8539900516056687,0.994341147938561,1.2206084985733032,0.885
2,14,0.84479566323921,0.9945028294260307,1.2510282678604125,0.866
2,15,0.824641862962163,0.9975747776879548,1.1821416845321655,0.887
2,16,0.8118772243624651,0.9977364591754244,1.178430196762085,0.891
2,17,0.8038726353317668,0.9985448666127729,1.1810370349884034,0.886
2,18,0.7964063804864691,0.9991915925626516,1.1476948280334474,0.895
2,19,0.7895113107747577,0.999514955537591,1.1502997694015502,0.8955
2,20,0.7862165680409634,0.9990299110751819,1.1535589933395385,0.8995
2,21,0.7805977894783791,0.999514955537591,1.1448358497619628,0.9025
2,22,0.778415280893722,0.9996766370250606,1.143555347442627,0.899
2,23,0.7749886087958815,0.9996766370250606,1.1333056678771973,0.899
2,24,0.7727945529846,0.9996766370250606,1.122398865699768,0.9055
2,25,0.7693909827604734,1.0,1.1306296558380127,0.902
2,26,0.7679615990712745,1.0,1.1230603790283202,0.9045
2,27,0.7675302901572534,1.0,1.1289185409545899,0.902
2,28,0.767075258180222,0.9998383185125304,1.121324652671814,0.9025
2,29,0.7660426740985583,0.9998383185125304,1.1274210062026977,0.903
