fold,epoch,train_loss,train_acc,val_loss,val_acc
1,1,3.8211427375589926,0.12966855295068713,3.4605585403442385,0.203
1,2,3.266032286044948,0.26612772837510107,3.0762624855041505,0.3035
1,3,2.9619623975977363,0.34648342764753437,2.8688343410491943,0.3905
1,4,2.757678942422088,0.42134195634599836,2.7393988227844237,0.4055
1,5,2.604424785931648,0.45448666127728377,2.6551857051849366,0.4285
1,6,1.862585166971242,0.6561034761519806,1.6281467742919922,0.7395
1,7,1.2964660112185158,0.8548100242522231,1.4511301136016845,0.7975
1,8,1.1049054224450645,0.9262732417138237,1.36585520362854,0.8255
1,9,0.9989075831279893,0.9602263540824576,1.3091778545379638,0.8495
1,10,0.9421375595761965,0.9742926434923201,1.2645872497558595,0.8705
1,11,0.8979496891978487,0.9839935327405012,1.2578079423904418,0.864
1,12,0.8768983729731776,0.9875505254648342,1.216854190826416,0.8765
1,13,0.8558883397349833,0.9912691996766371,1.2054364852905273,0.8785
1,14,0.8368430219741242,0.9954729183508488,1.1962963180541992,0.873
1,15,0.8259161645785974,0.9956345998383185,1.1820010833740235,0.882
1,16,0.8175113145632424,0.9975747776879548,1.1675798997879028,0.8915
1,17,0.8085211763096704,0.9980598221503638,1.1598925971984864,0.8935
1,18,0.7998564950670074,0.9990299110751819,1.1396966257095338,0.8975
1,19,0.7919602632715322,0.999514955537591,1.11634135723114,0.898
1,20,0.7914922914296847,0.9985448666127729,1.1126842317581176,0.8995
1,21,0.7862512011053876,0.9990299110751819,1.1154772424697876,0.904
1,22,0.7806564219458603,0.9996766370250606,1.1127775535583495,0.905
1,23,0.7780099237456665,0.9996766370250606,1.1056993007659912,0.907
1,24,0.7735733296086736,1.0,1.1037368307113646,0.909
1,25,0.7718746964355198,0.9996766370250606,1.1019228353500365,0.912
1,26,0.7712745576783737,1.0,1.095983709335327,0.9115
1,27,0.7700541002864113,0.9998383185125304,1.0914546909332274,0.913
1,28,0.7706713572951605,0.9996766370250606,1.0918685674667359,0.914
1,29,0.768390726407112,1.0,1.0952639980316161,0.91
1,30,0.7677917086220405,1.0,1.0934362230300902,0.9125
2,1,3.81574910660376,0.12077607113985449,3.428422336578369,0.2055
2,2,3.256462788948053,0.2651576394502829,3.071724117279053,0.3275
2,3,2.9480344838641206,0.3568310428455942,2.888431306838989,0.3715
2,4,2.7425464295531436,0.41519805982215036,2.735295612335205,0.4355
2,5,2.6047274352083694,0.4536782538399353,2.650455255508423,0.4405
2,6,1.8562386929266088,0.6611156022635408,1.6742801551818847,0.7215
2,7,1.318606570543738,0.847210994341148,1.5239930553436278,0.769
2,8,1.0991868280458565,0.9262732417138237,1.3880565757751464,0.8275
2,9,1.0025117521432492,0.9573160873080032,1.3719090089797974,0.8185
2,10,0.9506468156507735,0.9704122877930477,1.3218071937561036,0.845
2,11,0.9006249423266035,0.9867421180274859,1.277000096321106,0.86
2,12,0.8757278507625084,0.9886822958771221,1.254556010246277,0.8635
2,13,0.8517530261072885,0.9935327405012127,1.2573897066116333,0.8615
2,14,0.8352108096247637,0.9962813257881973,1.2292532863616943,0.872
2,15,0.8228770564714554,0.9972514147130154,1.1931208639144897,0.881
2,16,0.8169069962628733,0.9970897332255457,1.1843967781066895,0.877
2,17,0.81226115943736,0.9964430072756669,1.1821866369247436,0.878
2,18,0.8078776068810792,0.9962813257881973,1.1657439212799072,0.887
2,19,0.7956016176442707,0.9985448666127729,1.1569909477233886,0.891
2,20,0.7882060673319725,0.9996766370250606,1.133647455215454,0.8965
2,21,0.783439255107673,0.9993532740501213,1.140455898284912,0.8965
2,22,0.7796846170433125,0.9996766370250606,1.1402992696762084,0.8965
2,23,0.7766324470866179,0.9998383185125304,1.1357785120010375,0.8975
2,24,0.7748679380023682,0.9998383185125304,1.124459894180298,0.8995
