fold,epoch,train_loss,train_acc,val_loss,val_acc
1,1,4.092695524851481,0.07683333333333334,3.672423828125,0.133
1,2,3.739819916407267,0.122,3.4272738037109374,0.159
1,3,3.5805596421559653,0.14466666666666667,3.26477880859375,0.21
1,4,3.510710501352946,0.14683333333333334,3.1273236083984375,0.2225
1,5,3.387967065175374,0.17016666666666666,3.0325758056640626,0.2355
1,6,2.6343808428446454,0.31083333333333335,1.5555163745880127,0.5495
1,7,2.1155917069117227,0.43716666666666665,1.1476479320526123,0.6565
1,8,1.6486867726643881,0.5708333333333333,0.9416798963546753,0.725
1,9,1.57127188650767,0.597,0.8551912913322449,0.752
1,10,1.2617077620824177,0.6988333333333333,0.7043942980766297,0.792
1,11,1.4612254361311594,0.6145,0.7608984270095825,0.7865
1,12,1.240493951400121,0.6961666666666667,0.7318610124588013,0.7965
1,13,1.190340575536092,0.6918333333333333,0.5992386364936828,0.8295
1,14,1.1434865976174673,0.7043333333333334,0.5969856300354004,0.8415
1,15,1.1231691569487254,0.7245,0.5921780498027801,0.84
1,16,1.0517193863391876,0.7248333333333333,0.5995741131305694,0.852
1,17,0.9230417096614838,0.7643333333333333,0.5440439295768738,0.851
1,18,1.127606291770935,0.7326666666666667,0.5743570783138275,0.856
1,19,0.8492489665746689,0.7968333333333333,0.5246489403247834,0.8625
1,20,0.8641381416718165,0.7881666666666667,0.4918804371356964,0.8685
1,21,0.9163261268138886,0.7811666666666667,0.5802777547836304,0.846
1,22,0.8237004293600718,0.8028333333333333,0.5242669959068298,0.869
1,23,0.8442574037313462,0.7968333333333333,0.49275165152549744,0.8705
1,24,0.8422696019609769,0.7861666666666667,0.46806884241104124,0.8765
1,25,0.7961418537696202,0.7993333333333333,0.5152383601665497,0.8625
1,26,0.9850439291199048,0.7458333333333333,0.4561079590320587,0.8825
1,27,0.6793624340693156,0.8488333333333333,0.42725808250904085,0.89
1,28,0.8776663956046105,0.7903333333333333,0.4571356656551361,0.882
1,29,0.6913700259129206,0.8518333333333333,0.4338146699666977,0.8875
1,30,0.8005748883187771,0.8156666666666667,0.4634471843242645,0.888
1,31,0.7658952443003655,0.8216666666666667,0.42653957080841065,0.896
1,32,0.7419987273812294,0.807,0.43748941135406494,0.8925
1,33,0.7855271002054215,0.8253333333333334,0.42913203907012937,0.8985
1,34,0.764998695453008,0.8116666666666666,0.39236489868164065,0.905
1,35,0.745653198565046,0.7956666666666666,0.4016937173604965,0.9015
1,36,0.8548557052711646,0.8171666666666667,0.43581131792068484,0.896
1,37,0.6080365391969681,0.842,0.4028859351873398,0.902
1,38,0.6770029797554016,0.819,0.4020380930900574,0.899
1,39,0.6449604798058669,0.8573333333333333,0.3847693498134613,0.9065
1,40,0.773195833782355,0.818,0.37151367163658144,0.9115
1,41,0.6247464237610499,0.8498333333333333,0.37502535796165465,0.903
1,42,0.7678168168564637,0.812,0.37306962537765503,0.91
1,43,0.7270825714369615,0.802,0.3697041108608246,0.9125
