===== Input Arguments =====
  model         : resnet34d
  attn          : channel
  tuning        : False
  use_excluded  : True
  use_added     : True
  folds         : 4
  epochs        : 400
  batch_size    : 32
  lr            : 0.001
  optimizer     : adamw
  weight_decay  : 0.005
  label_smoothing: 0.0
  label         : family
  crop_bbox     : True
  seed          : 42
  save_csv      : results_all.csv
  outdir        : /home/work/AIPJ/EF2039_Introduction_to_AI_Programming_Project_1/best_model/400epochs
  added_repeat  : 1
  rotation      : 15
  cutmix        : 0.5
===========================
Device: cuda  |  AMP: True  |  Workers: 14
Label: family  |  Classes: 70
Mode: excl=True, added=True  |  Original: 10000, Added(train-only): 180 ×1 = 180
Test set isolated: 2000 samples (20%, seed=42)
Train+Val pool   : 8000 samples → 4-fold CV

============================================================
  Fold 1/4
============================================================
  Train: 6180, Val: 2000, Test: 2000
  resnet34_dropout(p=0.5) + CHANNEL  injected=9 modules
  [F1 E 62/400] Train 0.8410/0.7895  Val 0.4636/0.8885  (12.2s)
  [F1 E 63/400] Train 0.7026/0.8290  Val 0.4300/0.8915  (11.1s)
  [F1 E 64/400] Train 0.8621/0.7917  Val 0.4161/0.8990  (11.9s)
  [F1 E 65/400] Train 0.7076/0.8126  Val 0.4359/0.8945  (10.2s)
  [F1 E 66/400] Train 0.6580/0.8280  Val 0.4433/0.8955  (11.5s)
  [F1 E 67/400] Train 0.6648/0.8468  Val 0.4373/0.8940  (12.9s)
  [F1 E 68/400] Train 0.8741/0.7997  Val 0.4573/0.8915  (13.6s)
  [F1 E 69/400] Train 0.7940/0.7997  Val 0.4614/0.8915  (14.1s)
  [F1 E 70/400] Train 0.7566/0.8023  Val 0.4561/0.8885  (13.4s)
  [F1 E 71/400] Train 0.7678/0.8102  Val 0.4399/0.8910  (11.8s)
  [F1 E 72/400] Train 0.7335/0.8225  Val 0.4339/0.8980  (11.0s)
  [F1 E 73/400] Train 0.7950/0.8044  Val 0.4219/0.8945  (11.3s)
  [F1 E 74/400] Train 0.7936/0.8057  Val 0.4350/0.8925  (11.5s)
  [F1 E 75/400] Train 0.6699/0.8369  Val 0.4399/0.8935  (10.6s)
  [F1 E 76/400] Train 0.7311/0.8233  Val 0.4401/0.8890  (10.9s)
  [F1 E 77/400] Train 0.6698/0.8309  Val 0.4357/0.8900  (11.4s)
  [F1 E 78/400] Train 0.7515/0.8301  Val 0.4486/0.8910  (11.1s)
  [F1 E 79/400] Train 0.8317/0.7905  Val 0.4566/0.8920  (10.5s)
  [F1 E 80/400] Train 0.7304/0.7914  Val 0.4287/0.9005  (13.2s)
  [F1 E 81/400] Train 0.7705/0.8291  Val 0.4858/0.8870  (14.3s)
  [F1 E 82/400] Train 0.7281/0.8112  Val 0.4508/0.8900  (13.4s)
  [F1 E 83/400] Train 0.6427/0.8390  Val 0.4698/0.8845  (12.8s)
  [F1 E 84/400] Train 0.7330/0.7825  Val 0.4476/0.8840  (11.8s)
  [F1 E 85/400] Train 0.8041/0.8058  Val 0.4632/0.8830  (11.1s)
  [F1 E 86/400] Train 0.7172/0.8264  Val 0.4332/0.8875  (11.4s)
  [F1 E 87/400] Train 0.7654/0.8157  Val 0.4726/0.8855  (11.3s)
  [F1 E 88/400] Train 0.7905/0.7940  Val 0.4217/0.9020  (11.9s)
  [F1 E 89/400] Train 0.7528/0.8079  Val 0.4563/0.8910  (10.9s)
